"","local","X1","X2","X3","X4","X5","X6","X7","τPSII","τPQ","ETR","NPQ","FvFm","P","S","SymLipids","SymProtein","SymCarbs","Volume","Photo","Chla","PRratio","Density","PROT","CARB","PhotoChla"
"1","C15b.1","C","Nikko","Porites-rus","C15b","10","1","NP1-5",25581,1842,261692.127,0.205718642,0.473,0.06,170,0.000262019029935866,0.000668529473946153,0.000751419886895503,377.8976742,4.18965748564505e-09,8.86070336025477,4.443969596,0.192325180138471,266.542502899292,1.74310787888152,0.0472835768821471
"2","C15b.2","C","Nikko","Porites-rus","C15b","10","2","NP2-5",40456,1617,227552.2435,-0.066101695,0.484,0.07,168,0.000443206199853969,0.000974934003478728,0.00119660509323582,404.9829027,5.48397306887326e-09,9.37060469585598,5.726271377,0.165933728271686,270.957763489512,5.54279480457323,0.0585231502861119
"4","C15b.4","C","Nikko","Porites-rus","C15b","10","4","NP4-5",22117,2086,346169.095,0.053162853,0.436,0.08,162,0.000386766160718642,0.000922147251052221,0.000806781149044395,324.1900186,4.53754566023911e-09,9.65187196818638,2.709662934,0.19271337976,414.427680333333,1.22622222213333,0.0470120788505624
"5","C15b.5","C","Nikko","Porites-rus","C15b","10","5","NP5-5",20415,2388,426721.44,0.096922069,0.45,0.08,157,NA,0.000598593428359517,0.000511082871824373,327.5462349,3.56698262191194e-09,7.70105331532487,4.521420155,0.223856459351565,314.192517663588,0.912478096939619,0.0463181135860175
"6","C15b.6","C","Nikko","Porites-rus","C15b","10","6","NP6-5",22752,2035,493277.4085,0.092068054,0.432,0.08,183,0.00078204545459595,0.0008112455083432,0.000838647562440464,363.2604262,3.53485016052598e-09,6.21718249355686,5.729328105,0.200897588135649,450.696637011713,1.12544779702799,0.0568561428619685
"7","C15b.7","C","Nikko","Porites-rus","C15b","10","7","NP7-5",20644,2101,511393.555,0.013959391,0.424,0.07,172,0.000361172221392777,0.000800449890103081,0.000898083695828578,274.8909513,2.77452228796982e-09,8.85627651401883,3.029682346,0.216747935452519,219.923317597555,6.2441715486116,0.0313283159528495
"8","C15b.8","C","Nikko","Porites-rus","C15b","10","8","NP8-5",24671,1156,756346.406,-0.008536585,0.433,0.08,196,0.000430425045062529,0.00161562146741096,0.000987169994435599,373.4196562,6.10486480589896e-09,8.7537041580832,4.885864728,0.140890276332747,264.771344792512,15.4606962595692,0.0697403601452729
"10","C15a.2","C","Offshore","Porites-rus","C15a","10","2","OP2-5",13703,1928,569287.165,-0.004790419,0.442,0.09,176,0.000283553567810175,0.000350492586720815,0.000908867675292755,350.6663428,2.61508977404453e-09,4.55709593278415,5.700877716,0.568843600261392,314.051935344381,1.05762309240021,0.0573850059910159
"11","C15a.3","C","Offshore","Porites-rus","C15a","10","3","OP3-5",18884,1966,174472.2595,0.49651352,0.433,0.21,151,0.000283092347328421,0.00044271827706993,0.00085515556586603,373.4685643,5.51277272151905e-10,3.78479597884324,11,0.515906250208422,331.746912012946,0.540624565407635,0.0145655743462398
"12","C15a.4","C","Offshore","Porites-rus","C15a","10","4","OP4-5",18667,1907,110496.568,0.621716428,0.444,0.18,159,0.000199781128426642,0.000413715067121543,0.00109770144771746,364.6177093,2.97082617078876e-09,5.71049471376743,4.348322945,0.488689260818361,335.163214675933,0.894337636729687,0.0520239719971441
